Country,Emissions Classifier,Emissions Percentile,2019 CO2 Level (Training Data),CO2Avg (Metric Tons/Capita),CO2Growth Avg.,GDP Avg. (Billion $),GDP Growth Avg.,Population Avg. (million),Population Growth Avg.,HDI Avg.,HDI Growth Avg.,"Average % of GDP of Ag, For, Fish(Agriculture)","Average % of GDP of Ag, For, Fish(Agriculture) Growth Rate Avg.",Export Fuel and Mining Avg.,Export Fuel and Mining Growth Rate Avg.,Export Manufactures Avg.,Export Manufactures Growth Rate Avg.,Import Fuel and Mining Avg.,Import Fuel and Mining Growth Avg.,Import Manufactures Millions($) Avg.,Import Manufactures Millions($) Growth Avg.,Inflation Rate Avg.,Inflation Rate Growth Rate Avg.
Afghanistan,Low,0.095,0.206928,0.216,-0.0579,536.92,-0.0524,35.33,0.0287,0.5034,0.005192,-0.01883,-0.01555,46,0.000,56.4,-0.093,1515.2,-0.161,2053.6,0.272,2.80,-1.97
Angola,Low,0.326,0.966977,1.139,-0.0761,4093.38,-0.1118,28.86,0.0344,0.5758,0.009563,0.21214,0.047472,38023.8,-0.068,938,0.000,1861.4,0.045,11426.6,-0.107,19.32,0.41
Albania,Low,0.416,1.913143,1.834,0.0293,4494.83,0.0305,2.88,-0.002,0.789,0.002547,-0.31214,-0.0123,532.2,-0.068,1524,0.114,698.2,0.014,3456.6,0.068,1.77,-1.35
United Arab Emirates,High,0.984,20.62837,20.991,0.007,41008.24,0.004,9.39,0.0093,0.8098,0.003969,0.01585,0.019251,89480.2,0.080,103127.8,0.070,15019,0.158,164386.8,0.017,2.61,0.41
Argentina,Medium,0.642,4.033059,4.167,-0.0183,13064.46,-0.0294,43.59,0.0106,0.84,0.001675,-0.43496,-0.07539,3612,-0.114,16063.8,-0.121,8482.8,-0.072,50673.4,-0.016,0.00,0.00
Armenia,Low,0.411,1.880519,1.824,-0.0027,3864.08,0.0165,2.93,0.0037,0.7676,0.002355,-0.82594,-0.05775,703.4,0.075,496.2,0.144,764.6,-0.046,2276,0.094,1.76,-0.34
Antigua and Barbuda,Medium,0.705,5.440873,5.291,0.0136,15009.76,0.0497,0.09,0.0102,0.7654,0.00314,0.01603,-0.0362,1,0.000,25,0.094,50.4,-0.420,307.4,0.139,1.04,-1.61
Australia,High,0.963,15.53159,15.726,-0.0118,56043.1,-0.0395,24.21,0.0155,0.9388,0.002566,0.04737,0.011729,137852,0.033,27180.4,-0.004,29391.4,-0.009,159007.8,0.011,1.83,0.00
Austria,Medium,0.832,7.167987,7.289,-0.0171,47989.16,-0.0007,8.71,0.0084,0.917,0.003515,-0.01412,-0.02273,8777.6,0.013,140451,0.016,20723,-0.009,133099,0.024,1.49,0.13
Azerbaijan,Medium,0.553,3.261542,3.314,-0.0071,5231.86,-0.1322,9.75,0.0109,0.7486,0.005122,-0.02138,-0.00947,17026.4,-0.058,423.8,-0.005,522.6,0.305,6720,0.012,6.61,0.56
Burundi,Low,0.011,0.050159,0.046,0.0366,266.72,-0.0193,10.5,0.0321,0.4356,-0.00043,-1.18926,-0.05971,9,0.435,21,0.021,145,0.009,414.8,0.029,5.75,0.11
Belgium,Medium,0.874,8.152468,8.229,-0.0122,44457.06,0,11.32,0.0049,0.9246,0.00304,-0.00695,-0.02743,50891.6,-0.012,323101.8,0.012,69317,-0.008,297260.2,0.018,1.41,0.50
Benin,Low,0.226,0.658105,0.623,0.06,1166.78,-0.0061,10.88,0.028,0.5338,0.007181,0.48926,0.020492,46.2,0.161,173,0.358,527.6,0.086,1005.4,-0.008,0.26,-2.43
Burkina Faso,Low,0.074,0.207295,0.195,0.0412,734.78,-0.0012,18.66,0.0296,0.429,0.015628,-0.53926,-0.02443,188.6,0.268,122.8,-0.020,947.8,0.036,2148.8,0.007,0.87,-0.60
Bangladesh,Low,0.168,0.49285,0.469,0.0497,1406.16,0.1037,157.95,0.011,0.6042,0.015447,-0.45546,-0.03465,238.6,-0.079,32739.2,0.107,4818,0.189,32186.4,0.126,5.99,-0.06
Bulgaria,Medium,0.763,5.852987,6.001,0.0113,8071.79,0.0372,7.13,-0.0067,0.81,0.002981,-0.23479,-0.06242,6931.6,-0.016,16471,0.067,7887,-0.021,20901.6,0.053,0.51,-0.02
Bahrain,High,0.989,20.19809,21.206,-0.0227,23612.17,-0.0067,1.44,0.0361,0.8454,0.009002,-0.00237,0.006283,11553,0.013,4420,-0.060,1785.6,0.233,8827,0.082,2.15,0.00
"Bahamas, The",Medium,0.779,6.102199,6.138,-0.0795,31848.13,0.0298,0.38,0.0099,0.8094,0.001486,-0.03273,-0.06838,111,-0.045,315.4,-0.053,611.8,-0.001,1720.2,0.019,1.36,-0.95
Bosnia and Herzegovina,Medium,0.8,6.544343,6.29,0.0159,5303.93,0.0298,3.39,-0.0127,0.7684,0.005771,-0.01312,-0.03436,1027.6,0.039,3937.6,0.078,1823.8,0.016,6528.2,0.052,-0.26,1.71
Belarus,Medium,0.774,6.28574,6.031,-0.003,6298.77,-0.0643,9.49,0.0004,0.817,0.002944,-0.14258,-0.01307,8330,-0.016,15150.2,0.016,10855.8,-0.005,17611.6,-0.001,10.88,-0.21
Belize,Low,0.389,1.697435,1.697,0.0336,4858.58,0.0179,0.37,0.0207,0.712,0.003408,-0.83306,-0.07765,30.6,-0.141,35.6,0.159,126.2,0.024,610.6,0.085,0.00,0.00
Bolivia,Low,0.437,1.977042,1.942,0.0249,3218.84,0.0384,11.03,0.0149,0.7026,0.008624,0.34834,0.027121,6303.6,-0.048,509.6,-0.003,1163.4,0.025,7616.4,0.023,3.71,-0.16
