Country,Emissions Classifier,Emissions Percentile,2019 CO2 Level (Training Data),CO2Avg (Metric Tons/Capita),CO2Growth Avg.,GDP Avg. (Billion $),GDP Growth Avg.,Population Avg. (million),Population Growth Avg.,HDI Avg.,HDI Growth Avg.,"Average % of GDP of Ag, For, Fish(Agriculture)","Average % of GDP of Ag, For, Fish(Agriculture) Growth Rate Avg.",Export Fuel and Mining Avg.,Export Fuel and Mining Growth Rate Avg.,Export Manufactures Avg.,Export Manufactures Growth Rate Avg.,Import Fuel and Mining Avg.,Import Fuel and Mining Growth Avg.,Import Manufactures Millions($) Avg.,Import Manufactures Millions($) Growth Avg.,Inflation Rate Avg.,Inflation Rate Growth Rate Avg.
Afghanistan,Low,0.095,0.206928,0.216,-0.0579,536.92,-0.0524,35.33,0.0287,0.5034,0.005192,-0.01883,-0.01555,46,0,56.4,-9.31%,1515.2,-16.09%,2053.6,27.22%,279.97%,-197.46%
Angola,Low,0.326,0.966977,1.139,-0.0761,4093.38,-0.1118,28.86,0.0344,0.5758,0.009563,0.21214,0.047472,38023.8,-6.80%,938,0,1861.4,4.46%,11426.6,-10.74%,1931.97%,41.42%
Albania,Low,0.416,1.913143,1.834,0.0293,4494.83,0.0305,2.88,-0.002,0.789,0.002547,-0.31214,-0.0123,532.2,-6.84%,1524,11.36%,698.2,1.38%,3456.6,6.82%,176.97%,-134.76%
United Arab Emirates,High,0.984,20.62837,20.991,0.007,41008.24,0.004,9.39,0.0093,0.8098,0.003969,0.01585,0.019251,89480.2,8.00%,103127.8,6.96%,15019,15.77%,164386.8,1.69%,261.38%,40.78%
Argentina,Medium,0.642,4.033059,4.167,-0.0183,13064.46,-0.0294,43.59,0.0106,0.84,0.001675,-0.43496,-0.07539,3612,-11.41%,16063.8,-12.06%,8482.8,-7.20%,50673.4,-1.57%,0,0
Armenia,Low,0.411,1.880519,1.824,-0.0027,3864.08,0.0165,2.93,0.0037,0.7676,0.002355,-0.82594,-0.05775,703.4,7.49%,496.2,14.41%,764.6,-4.60%,2276,9.42%,175.98%,-34.02%
Antigua and Barbuda,Medium,0.705,5.440873,5.291,0.0136,15009.76,0.0497,0.09,0.0102,0.7654,0.00314,0.01603,-0.0362,1,0,25,9.42%,50.4,-41.99%,307.4,13.92%,104.17%,-161.22%
Australia,High,0.963,15.53159,15.726,-0.0118,56043.1,-0.0395,24.21,0.0155,0.9388,0.002566,0.04737,0.011729,137852,3.26%,27180.4,-0.42%,29391.4,-0.87%,159007.8,1.06%,182.67%,-0.49%
Austria,Medium,0.832,7.167987,7.289,-0.0171,47989.16,-0.0007,8.71,0.0084,0.917,0.003515,-0.01412,-0.02273,8777.6,1.26%,140451,1.62%,20723,-0.87%,133099,2.44%,149.47%,13.00%
Azerbaijan,Medium,0.553,3.261542,3.314,-0.0071,5231.86,-0.1322,9.75,0.0109,0.7486,0.005122,-0.02138,-0.00947,17026.4,-5.82%,423.8,-0.46%,522.6,30.51%,6720,1.20%,660.98%,56.11%
Burundi,Low,0.011,0.050159,0.046,0.0366,266.72,-0.0193,10.5,0.0321,0.4356,-0.00043,-1.18926,-0.05971,9,43.54%,21,2.12%,145,0.90%,414.8,2.88%,574.91%,10.58%
